DATE,BAT SPECIES (COMMON NAME),COUNT,RECORD TYPE,IDENTIFICATION,OS GRID REF,ADDRESS,POST CODE,HABITAT,STRUCTURE,COUNT TYPE,SEX,AGE,EVENT,EXPERIENCE,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2020,Noctule Bat,1,Flying Bat,Bat Detector Only,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2020,Myotis species,1,Flying Bat,Bat Detector Only,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2020,Daubenton’s Bat,1,Flying Bat,Bat Detector Only,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2020,Pipistrelle Kuhl's,1,Grounded Bat,Examined In Hand,TR088166,"Dungeness shingle Beach, Dungeness",,Coastal - beach,,,Female,Adult,Bat Rescue,Licenced Bat Worker,Wt 6.0g FA 36.8mm. Exhausted pregnant female. Dropping DNA confirmed species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2020,Pipistrelle Bat (45kHz) ,1,Roost (unknown type),Sight Record and Bat Detector,TQ5187356690,"Sevenoaks Wildlife Reserve, Wardens cottage, Sevenoaks",TN13 3LP,Woodland - broadleaved,Building,Count,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2020,Long-Eared Bat Brown,1,Flying Bat,Bat Detector Only,TQ5187356690,"Sevenoaks Wildlife Reserve, Wardens cottage, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2020,Pipistrelle Bat (55kHz) ,3,Flying Bat Feeding,Bat Detector Only,TQ5187356690,"Sevenoaks Wildlife Reserve, Wardens cottage, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2020,Pipistrelle Bat (45kHz) ,1,Flying Bat Feeding,Bat Detector Only,TQ5187356690,"Sevenoaks Wildlife Reserve, Wardens cottage, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2020,Noctule Bat,1,Flying Bat,Bat Detector Only,TQ5187356690,"Sevenoaks Wildlife Reserve, Wardens cottage, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,Pipistrelle Bat (55kHz) ,1,Roost (unknown type),Sight Record and Bat Detector,TQ5187356690,"Visitor Centre at Sevenoaks KWT Wildlife Reserve, Sevenoaks",TN13 3LP,Woodland - broadleaved,Bat Box,Count,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
